1,Fat/Oil Name,energy(Kcal),protein(g),saturated_fat(g),trans_fat(g),monounsat_fat(g),polyunsat_fat(g),cholesterol(mg),sodium(mg)
140,"Oil, teaseed",884.0,0.0,21.1,0.0,51.5,23.0,0.0,0.0
141,"Oil, tomatoseed",884.0,0.0,19.7,0.0,22.8,53.1,0.0,0.0
142,"Oil, ucuhuba butter",884.0,0.0,85.2,0.0,6.7,2.9,0.0,0.0
143,"Oil, vegetable, Natreon canola, high stability, non trans, high oleic (70%)",3700.0,0.0,6.51,0.767,72.0,17.1,0.0,0.0
144,"Oil, vegetable, soybean, refined",3700.0,0.0,15.3,0.678,22.7,57.3,0.0,0.0
145,"Oil, walnut",884.0,0.0,9.1,0.0,22.8,63.3,0.0,0.0
146,"Oil, wheat germ",884.0,0.0,18.8,0.0,15.1,61.7,0.0,0.0
157,"Salad Dressing, coleslaw, reduced fat",1380.0,0.0,2.98,0.0,8.6,7.52,25.0,1600.0
185,"Salad Dressing, mayonnaise, light, SMART BALANCE, Omega Plus light",333.0,1.53,3.29,0.149,16.7,11.8,33.0,848.0
189,"Salad Dressing, mayonnaise-like, fat-free",84.0,0.2,0.6,0.0,1.89,0.063,9.0,788.0
178,"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",351.0,0.2,0.6,0.0,0.0,0.0,9.0,788.0
176,"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",268.0,0.2,0.0,0.0,0.0,0.0,0.0,750.0
177,"Salad dressing, KRAFT Mayo Light Mayonnaise",334.0,0.6,5.0,0.0,0.0,0.0,35.0,633.0
147,"Salad dressing, bacon and tomato",326.0,1.8,5.44,0.0,8.42,19.6,4.0,905.0
148,"Salad dressing, blue or roquefort cheese dressing, commercial, regular",2030.0,1.37,8.28,1.34,13.3,27.5,31.0,642.0
149,"Salad dressing, blue or roquefort cheese dressing, fat-free",115.0,1.52,0.45,0.096,0.441,0.069,2.0,814.0
150,"Salad dressing, blue or roquefort cheese dressing, light",86.0,2.1,0.628,0.0,1.09,0.855,10.0,939.0
151,"Salad dressing, blue or roquefort cheese, low calorie",414.0,5.1,2.58,0.0,1.78,2.42,1.0,939.0
152,"Salad dressing, buttermilk, lite",845.0,1.25,1.25,0.059,2.79,4.21,16.0,1120.0
153,"Salad dressing, caesar dressing, regular",542.0,2.17,8.79,0.0,13.5,32.9,39.0,1210.0
154,"Salad dressing, caesar, fat-free",131.0,1.47,0.096,0.0,0.045,0.01,1.0,1260.0
155,"Salad dressing, caesar, low calorie",110.0,0.3,0.703,0.0,1.12,2.37,2.0,1150.0
156,"Salad dressing, coleslaw",404.0,0.85,5.34,0.086,7.41,19.4,41.0,850.0
158,"Salad dressing, french dressing, commercial, regular",1750.0,0.87,6.09,0.081,8.91,23.0,0.0,661.0
159,"Salad dressing, french dressing, commercial, regular, without salt",459.0,0.77,5.65,0.0,8.43,21.0,0.0,0.0
160,"Salad dressing, french dressing, fat-free",132.0,0.2,0.037,0.0,0.141,0.062,0.0,853.0
161,"Salad dressing, french dressing, reduced calorie",227.0,0.4,1.87,0.0,3.03,7.53,0.0,804.0
162,"Salad dressing, french dressing, reduced fat",928.0,0.58,0.842,0.0,4.52,3.85,0.0,838.0
163,"Salad dressing, french dressing, reduced fat, without salt",974.0,0.58,1.1,0.0,5.9,5.03,0.0,30.0
164,"Salad dressing, french, cottonseed, oil, home recipe",631.0,0.1,18.2,0.0,0.0,0.0,0.0,658.0
165,"Salad dressing, french, home recipe",631.0,0.1,12.6,0.0,20.7,33.7,0.0,658.0
166,"Salad dressing, green goddess, regular",1790.0,1.9,5.98,0.0,9.42,23.2,40.0,867.0
167,"Salad dressing, home recipe, vinegar and oil",449.0,0.0,9.1,0.0,14.8,24.1,0.0,1.0
168,"Salad dressing, honey mustard dressing, reduced calorie",207.0,0.98,0.833,0.003,5.57,3.15,0.0,701.0
169,"Salad dressing, honey mustard, regular",1940.0,0.87,5.0,0.0,11.5,22.8,29.0,512.0
170,"Salad dressing, italian dressing, commercial, reduced fat",425.0,0.39,0.833,0.017,1.72,3.24,0.0,891.0
